"","region","country","mean_life","mean_alcohol","mean_amortality","mean_bmi","mean_water","mean_pop","mean_health_spend","mean_life60","mean_imort","mean_edu","mean_school","mean_gni"
"1","Western Pacific","China",74.6460217647059,4.33044117647059,91.8846605882353,23.0470588235294,86.6448617647059,1353358.11323529,4.35497941176471,19.2367082352941,0.0166397058823529,NA,6.324035,6583.57142857143
"2","South-East Asia","India",65.7281858823529,2.04070176470588,201.076994117647,21.2352941176471,85.3131017647059,1196600.17658824,3.69239705882353,17.2114841176471,0.0522926470588235,3.578663,5.32019,3504.28571428571
"3","Americas","United States of America",78.1229335294118,8.60649411764706,110.208317647059,28.3058823529412,99.236065,303090.034647059,15.3197070588235,22.7554717647059,0.00659705882352941,4.946395,13.2538833333333,45597.1428571429
"4","South-East Asia","Indonesia",67.5738758823529,0.0695441176470588,186.994094117647,22.3411764705882,82.53037,235955.377882353,2.64988588235294,16.3020852941176,0.0323202941176471,3.07543857142857,7.55654625,6298.57142857143
"5","Americas","Brazil",72.7694688235294,6.90382,159.514370588235,25.6470588235294,95.7949617647059,192568.573214286,8.28075941176471,20.2160323529412,0.0209861764705882,5.05629933333333,7.0639875,11388.5714285714
"6","Eastern Mediterranean","Pakistan",64.4873241176471,0.0318476470588235,177.701852941176,23.2411764705882,88.4718470588235,172153.421470588,2.69148470588235,17.50375,0.0808752941176471,2.42117571428571,4.561353,3749.28571428571
"7","Africa","Nigeria",51.1923435294118,10.3071076470588,386.574494117647,22.8352941176471,59.0229552941177,151743.434647059,3.67355117647059,13.3802747058824,0.0950361764705882,NA,8.15852,3670
"8","Europe","Russian Federation",67.9192705882353,10.7107752941176,269.458058823529,26.0235294117647,95.9375458823529,144322.766529412,5.06667235294118,17.6178535294118,0.0116885294117647,3.69094692307692,10.74753,14962.8571428571
"9","South-East Asia","Bangladesh",69.0981052941176,0.00365941176470588,148.967376470588,20.9176470588235,96.2094252941177,143777.366235294,2.33469176470588,18.5077952941176,0.0459544117647059,2.03546846153846,5.39851857142857,1852.85714285714
"10","Western Pacific","Japan",82.7535735294118,7.29512058823529,62.7763870588235,22.6235294117647,98.6719852941176,128201.529411765,8.93454470588235,25.4404382352941,0.00254647058823529,3.48071666666667,12.34001,32109.2857142857
"11","Americas","Mexico",75.4930229411765,4.49187470588235,132.406158823529,27.3705882352941,94.3271994117647,110937.072823529,5.62936647058824,21.7917047058824,0.0167073529411765,4.83538647058824,8.05282846153846,12797.8571428571
"12","Western Pacific","Philippines",67.9308670588235,4.48392058823529,206.602423529412,22.6529411764706,89.22118,90920.0074705882,3.85616823529412,16.9477547058824,0.0262002941176471,2.78054,8.765476,5837.85714285714
"13","Western Pacific","Viet Nam",75.0416370588235,1.81778352941176,133.308011764706,20.8294117647059,87.0138341176471,86481.3027647059,5.44522058823529,21.9765635294118,0.0201194117647059,5.02632571428571,7.60819,3447.14285714286
"14","Africa","Ethiopia",58.8208923529412,0.348218823529412,305.495705882353,20.2352941176471,30.0271523529412,83707.193,4.46373176470588,17.1636123529412,0.0650535294117647,4.72891,2.098975,810.714285714286
"15","Europe","Germany",79.7830635294118,11.5799141176471,80.5660688235294,26.2117647058824,100,81366.4964117647,10.4983129411765,22.9136882352941,0.00365088235294118,4.72991636363636,13.9593392307692,34412.8571428571
"16","Eastern Mediterranean","Egypt",69.7549111764706,0.16924,171.695435294118,28.5882352941176,98.45402,80488.1954117647,4.82812117647059,17.1283435294118,0.0270691176470588,4.30966666666667,6.49143,8617.85714285714
"17","Eastern Mediterranean","Iran (Islamic Republic of)",72.9585488235294,0.0174329411764706,120.154894117647,25.6176470588235,95.1124217647059,72298.3437647059,5.98990294117647,18.8821541176471,0.0192141176470588,3.78480941176471,9.99277714285714,12003.3333333333
"18","Europe","Turkey",73.7880805882353,1.50313176470588,122.141111764706,27.3058823529412,97.3454205882353,70917.2677647059,4.84078058823529,20.0894552941176,0.0199067647058824,2.76330333333333,7.05840538461538,13110.7142857143
"19","South-East Asia","Thailand",73.2176164705882,6.47785823529412,171.994488235294,23.6117647058824,96.8494905882353,66337.2450588235,3.37796,21.0561294117647,0.0143908823529412,4.11643,7.59089,10155
"20","Europe","United Kingdom of Great Britain and Northern Ireland",79.9100552941176,10.4601729411765,77.1282364705882,26.8117647058824,100,62289.3208823529,7.92583352941176,23.1029947058824,0.00467235294117647,5.073275625,13.2301933333333,33212.1428571429
"21","Europe","France",81.0297529411765,12.7605882352941,86.6474811764706,24.9823529411765,99.9575811764706,62075.0867058823,10.7072647058824,24.5962270588235,0.00373588235294118,NA,10.9505025,31969.2857142857
"22","Africa","Democratic Republic of the Congo",56.3235405882353,0.652678235294118,298.603982352941,21.3823529411765,38.3962776470588,61357.504,3.80060941176471,16.1583223529412,0.0958738235294118,1.96555,6.366785,517.142857142857
"23","Europe","Italy",81.4905158823529,8.11643294117647,62.2355135294118,25.6,99.7178747058824,58851.4154117647,8.49319117647059,24.1378141176471,0.00349176470588235,4.29076470588235,9.60274363636364,30642.1428571429
"24","Africa","South Africa",58.2263811764706,7.36621,400.349423529412,26.7588235294118,88.5614558823529,50136.8058235294,7.26437764705882,15.9476835294118,0.0438885294117647,5.46135117647059,9.24203,9860
"25","South-East Asia","Myanmar",63.7603258823529,0.847639411764706,226.322905882353,21.9529411764706,63.8999735294118,49957.482,2.51212058823529,16.4472988235294,0.0552617647058824,0.78744,NA,NA
"26","Western Pacific","Republic of Korea",79.8486564705882,9.27129294117647,81.4151005882353,23.4529411764706,98.964466,49243.4240588235,5.64411117647059,23.1896835294118,0.00444117647058824,4.59437,11.506628,26008.5714285714
"27","Europe","Ukraine",69.0558952941176,7.56824764705882,238.678105882353,26.1529411764706,95.9495241176471,46726.1863571429,6.41536882352941,17.4986611764706,0.0112741176470588,5.85420133333333,11.09939,6717.85714285714
"28","Europe","Spain",81.3911947058824,10.2630329411765,69.8521723529412,26.1235294117647,99.9837041176471,44993.5626470588,8.19791,24.2998329411765,0.00338,4.34437647058824,9.40390833333333,28065.7142857143
"29","Americas","Colombia",73.2835723529412,4.33743823529412,147.930617647059,25.5235294117647,94.1113811764706,44060.7269411765,6.56619823529412,20.60252,0.0172508823529412,4.28316411764706,7.49955769230769,8858.57142857143
"30","Africa","United Republic of Tanzania",57.3155288235294,6.09720823529412,374.828876470588,22.6588235294118,40.4979576470588,42387.8922352941,5.11344823529412,16.5974882352941,0.0583714705882353,3.77800875,4.87601,1250.71428571429
"31","Americas","Argentina",75.4604452941176,7.95928588235294,123.814688235294,26.9,97.9271247058823,40130.9967647059,8.05647823529412,20.9410547058824,0.0137476470588235,4.76794470588235,10.5302141666667,NA
"32","Africa","Kenya",59.6563341176471,1.36190117647059,348.222423529412,22.6705882352941,52.9170123529412,40073.8156470588,5.46688529411765,17.4755458823529,0.0492885294117647,5.85141285714286,6.061835,1805.71428571429
